,BE,CH,DE,ES,IT,UK,IE,NL,PT
2022-09-12,9035.013517355326,6616.6117849558,52627.69814880487,25894.949682828767,31474.647778242026,24182.481932970994,3696.0465846927214,12783.233726772884,5742.875830352721
2022-09-13,9180.059134346333,6666.3625446378555,53639.84643653865,26698.085735123695,33017.83382108321,24651.758111828014,3757.130624754069,12933.46474335193,5935.3901135657425
2022-09-14,9177.07902282514,6681.479125892124,53836.22939544431,26802.993964996123,33189.94235911426,24605.463440631844,3768.3625862787007,12966.307963368436,5978.721356363621
2022-09-15,9208.864814678867,6623.944298635521,53787.94949984221,26764.96274968653,33184.16992439777,24513.92923206173,3770.762468571945,13007.022247210181,5989.297072435071
2022-09-16,9076.617650992242,6531.541413036816,52358.20789055956,26443.315526797913,32449.09411650675,23911.920656715716,3715.9639415718175,12811.350761969985,5916.774931560438
2022-09-17,8137.994044649056,6063.211373705277,44256.89071495679,23086.81014591328,26503.833418906634,21126.383412866824,3456.5338738740793,11430.783763636715,5170.895651614005
2022-09-18,7865.572574918824,6060.107396852582,41583.60183601507,21658.29664646588,23778.414161655684,20712.46106711246,3365.683053849215,11038.31061703008,4900.438829951561
2022-09-19,9035.013517355326,6616.6117849558,52627.69814880487,25894.949682828767,31474.647778242026,24182.481932970994,3696.0465846927214,12783.233726772884,5742.875830352721
2022-09-20,9180.059134346333,6666.3625446378555,53639.84643653865,26698.085735123695,33017.83382108321,24651.758111828014,3757.130624754069,12933.46474335193,5935.3901135657425
2022-09-21,9177.07902282514,6681.479125892124,53836.22939544431,26802.993964996123,33189.94235911426,24605.463440631844,3768.3625862787007,12966.307963368436,5978.721356363621
2022-09-22,9208.864814678867,6623.944298635521,53787.94949984221,26764.96274968653,33184.16992439777,24513.92923206173,3770.762468571945,13007.022247210181,5989.297072435071
2022-09-23,9076.617650992242,6531.541413036816,52358.20789055956,26443.315526797913,32449.09411650675,23911.920656715716,3715.9639415718175,12811.350761969985,5916.774931560438
2022-09-24,8137.994044649056,6063.211373705277,44256.89071495679,23086.81014591328,26503.833418906634,21126.383412866824,3456.5338738740793,11430.783763636715,5170.895651614005
2022-09-25,7865.572574918824,6060.107396852582,41583.60183601507,21658.29664646588,23778.414161655684,20712.46106711246,3365.683053849215,11038.31061703008,4900.438829951561
2022-09-26,9035.013517355326,6616.6117849558,52627.69814880487,25894.949682828767,31474.647778242026,24182.481932970994,3696.0465846927214,12783.233726772884,5742.875830352721
2022-09-27,9180.059134346333,6666.3625446378555,53639.84643653865,26698.085735123695,33017.83382108321,24651.758111828014,3757.130624754069,12933.46474335193,5935.3901135657425
2022-09-28,9177.07902282514,6681.479125892124,53836.22939544431,26802.993964996123,33189.94235911426,24605.463440631844,3768.3625862787007,12966.307963368436,5978.721356363621
2022-09-29,9208.864814678867,6623.944298635521,53787.94949984221,26764.96274968653,33184.16992439777,24513.92923206173,3770.762468571945,13007.022247210181,5989.297072435071
2022-09-30,9076.617650992242,6531.541413036816,55031.49676950128,26443.315526797913,32449.09411650675,23911.920656715716,3715.9639415718175,12811.350761969985,5916.774931560438
2022-10-01,8287.503654813856,6202.527081572477,45741.0477366451,22843.409524275943,26482.123752527827,22539.50303016034,3556.0809555240894,11760.496047206476,5171.90395157322
2022-10-02,8015.082185083624,6199.423104719782,40401.22793827727,21414.896024828537,23756.704495276877,22125.58068440597,3465.230135499225,11368.02290059984,4901.447129910775
2022-10-03,9184.523127520126,6755.927492823001,43067.75885770338,25651.549061191425,31452.938111863215,25595.601550264502,3795.5936663427315,13112.946010342645,5743.884130311935
2022-10-04,9329.568744511133,6805.678252505056,55124.003458226965,26454.685113486354,32996.1241547044,26064.877729121523,3856.677706404079,13263.17702692169,5833.452450745021
2022-10-05,9326.58863298994,6820.794833759324,55320.38641713263,26559.59334335878,33168.23269273545,26018.583057925352,3867.909667928711,13296.020246938197,4901.447129910775
2022-10-06,9358.374424843667,6763.260006502721,55272.10652153052,26521.562128049187,33162.46025801896,25927.04884935524,3870.3095502219553,13336.734530779942,5990.305372394285
2022-10-07,9226.127261157042,6670.8571209040165,53842.364912247875,26199.91490516057,32427.384450127938,25325.040274009225,3815.5110232218276,13141.063045539746,5917.783231519652
2022-10-08,8287.503654813856,6202.527081572477,45741.0477366451,22843.409524275943,26482.123752527827,22539.50303016034,3556.0809555240894,11760.496047206476,5171.90395157322
2022-10-09,8015.082185083624,6199.423104719782,43067.75885770338,21414.896024828537,23756.704495276877,22125.58068440597,3465.230135499225,11368.02290059984,4901.447129910775
2022-10-10,9184.523127520126,6755.927492823001,54111.85517049318,25651.549061191425,31452.938111863215,25595.601550264502,3795.5936663427315,13112.946010342645,5743.884130311935
2022-10-11,9329.568744511133,6805.678252505056,55124.003458226965,24938.486292811638,32996.1241547044,26064.877729121523,3856.677706404079,13263.17702692169,5936.398413524957
2022-10-12,9326.58863298994,6820.794833759324,55320.38641713263,21414.896024828537,33168.23269273545,26018.583057925352,3867.909667928711,13296.020246938197,5979.729656322836
2022-10-13,9358.374424843667,6763.260006502721,55272.10652153052,26521.562128049187,33162.46025801896,25927.04884935524,3870.3095502219553,13336.734530779942,5990.305372394285
2022-10-14,9226.127261157042,6670.8571209040165,53842.364912247875,26199.91490516057,32427.384450127938,25325.040274009225,3815.5110232218276,13141.063045539746,5917.783231519652
2022-10-15,8287.503654813856,6202.527081572477,45741.0477366451,22843.409524275943,26482.123752527827,22539.50303016034,3556.0809555240894,11760.496047206476,5171.90395157322
2022-10-16,8015.082185083624,6199.423104719782,43067.75885770338,21414.896024828537,23756.704495276877,22125.58068440597,3465.230135499225,11368.02290059984,4901.447129910775
2022-10-17,9184.523127520126,6755.927492823001,54111.85517049318,25651.549061191425,31452.938111863215,25595.601550264502,3795.5936663427315,13112.946010342645,5743.884130311935
2022-10-18,9329.568744511133,6805.678252505056,55124.003458226965,26454.685113486354,32996.1241547044,26064.877729121523,3856.677706404079,13263.17702692169,5936.398413524957
2022-10-19,9326.58863298994,6820.794833759324,55320.38641713263,26559.59334335878,33168.23269273545,26018.583057925352,3867.909667928711,13296.020246938197,5979.729656322836
2022-10-20,9358.374424843667,6763.260006502721,55272.10652153052,26521.562128049187,33162.46025801896,25927.04884935524,3870.3095502219553,13336.734530779942,5990.305372394285
2022-10-21,9226.127261157042,6670.8571209040165,53842.364912247875,26199.91490516057,32427.384450127938,25325.040274009225,3815.5110232218276,13141.063045539746,5917.783231519652
2022-10-22,8287.503654813856,6202.527081572477,45741.0477366451,22843.409524275943,26482.123752527827,22539.50303016034,3556.0809555240894,11760.496047206476,5171.90395157322
2022-10-23,8015.082185083624,6199.423104719782,43067.75885770338,21414.896024828537,23756.704495276877,22125.58068440597,3465.230135499225,11368.02290059984,4901.447129910775
2022-10-24,9184.523127520126,6755.927492823001,54111.85517049318,25651.549061191425,31452.938111863215,25595.601550264502,3795.5936663427315,13112.946010342645,5743.884130311935
2022-10-25,9329.568744511133,6805.678252505056,55124.003458226965,26454.685113486354,32996.1241547044,26064.877729121523,3856.677706404079,13263.17702692169,5936.398413524957
2022-10-26,9326.58863298994,6820.794833759324,55320.38641713263,26559.59334335878,33168.23269273545,26018.583057925352,3867.909667928711,13296.020246938197,5979.729656322836
2022-10-27,9358.374424843667,6763.260006502721,55272.10652153052,26521.562128049187,33162.46025801896,25927.04884935524,3870.3095502219553,13336.734530779942,5990.305372394285
